25540.0, {'247379907': -6.0, '252017285': -10.0, '256201389': 0, '26110729': -8.0, '280120513': 0, '32319828': 0, '62426694': -50.0, 'cluster_1098574052_1098574061_247379905': -20.0}, {'247379907': 1, '252017285': 1, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 5, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 1, '252017285': 1, '256201389': 0, '26110729': 3, '280120513': 0, '32319828': 0, '62426694': 5, 'cluster_1098574052_1098574061_247379905': 2}, 
25550.0, {'247379907': -10.0, '252017285': 7.0, '256201389': 0, '26110729': -11.0, '280120513': -4.0, '32319828': 0, '62426694': -50.0, 'cluster_1098574052_1098574061_247379905': 53.0}, {'247379907': 1, '252017285': 2, '256201389': 0, '26110729': 2, '280120513': 1, '32319828': 0, '62426694': 5, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 2, '256201389': 0, '26110729': 2, '280120513': 1, '32319828': 0, '62426694': 5, 'cluster_1098574052_1098574061_247379905': 0}, 
25560.0, {'247379907': 9.0, '252017285': 11.0, '256201389': 0, '26110729': 19.0, '280120513': -10.0, '32319828': 0, '62426694': -50.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 5, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 5, 'cluster_1098574052_1098574061_247379905': 0}, 
25570.0, {'247379907': 1.0, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': -10.0, '32319828': 0, '62426694': -57.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 6, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 6, 'cluster_1098574052_1098574061_247379905': 0}, 
25580.0, {'247379907': -10.0, '252017285': 0, '256201389': 0, '26110729': -9.0, '280120513': 24.0, '32319828': 0, '62426694': -60.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 6, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 6, 'cluster_1098574052_1098574061_247379905': 0}, 
25590.0, {'247379907': 16.0, '252017285': 0, '256201389': 0, '26110729': 4.0, '280120513': 0, '32319828': 0, '62426694': 339.0, 'cluster_1098574052_1098574061_247379905': -7.0}, {'247379907': 0, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 0, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 1}, 
25600.0, {'247379907': -5.0, '252017285': 0, '256201389': 0, '26110729': -10.0, '280120513': 0, '32319828': -1.0, '62426694': -33.0, 'cluster_1098574052_1098574061_247379905': 7.0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 1, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 1, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 0}, 
25610.0, {'247379907': -26.0, '252017285': 0, '256201389': 0, '26110729': -19.0, '280120513': -22.0, '32319828': -10.0, '62426694': -50.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 2, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 3, '32319828': 1, '62426694': 5, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 3, '252017285': 0, '256201389': 0, '26110729': 3, '280120513': 3, '32319828': 1, '62426694': 5, 'cluster_1098574052_1098574061_247379905': 0}, 
25620.0, {'247379907': -43.0, '252017285': -4.0, '256201389': 0, '26110729': -3.0, '280120513': -38.0, '32319828': 11.0, '62426694': 236.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 4, '252017285': 1, '256201389': 0, '26110729': 2, '280120513': 4, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 5, '252017285': 1, '256201389': 0, '26110729': 4, '280120513': 4, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 0}, 
25630.0, {'247379907': -57.0, '252017285': -33.0, '256201389': 0, '26110729': 37.0, '280120513': -44.0, '32319828': 0, '62426694': -23.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 3, '252017285': 5, '256201389': 0, '26110729': 0, '280120513': 5, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 6, '252017285': 5, '256201389': 0, '26110729': 0, '280120513': 5, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 0}, 
25640.0, {'247379907': -68.0, '252017285': -71.0, '256201389': 0, '26110729': 0, '280120513': 76.0, '32319828': -10.0, '62426694': -75.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 4, '252017285': 8, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 2, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 7, '252017285': 8, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 2, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 0}, 
25650.0, {'247379907': -73.0, '252017285': -84.0, '256201389': 0, '26110729': 0, '280120513': 28.0, '32319828': -23.0, '62426694': 26.0, 'cluster_1098574052_1098574061_247379905': -14.0}, {'247379907': 4, '252017285': 9, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 3, '62426694': 7, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 9, '252017285': 9, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 3, '62426694': 7, 'cluster_1098574052_1098574061_247379905': 2}, 
25660.0, {'247379907': 217.0, '252017285': 30.0, '256201389': 0, '26110729': -9.0, '280120513': 0, '32319828': -30.0, '62426694': -91.0, 'cluster_1098574052_1098574061_247379905': -27.0}, {'247379907': 2, '252017285': 6, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 3, '62426694': 7, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 4, '252017285': 6, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 3, '62426694': 11, 'cluster_1098574052_1098574061_247379905': 3}, 
25670.0, {'247379907': -73.0, '252017285': 27.0, '256201389': 0, '26110729': -10.0, '280120513': 0, '32319828': -30.0, '62426694': 4.0, 'cluster_1098574052_1098574061_247379905': -30.0}, {'247379907': 4, '252017285': 4, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 3, '62426694': 5, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 11, '252017285': 4, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 3, '62426694': 9, 'cluster_1098574052_1098574061_247379905': 3}, 
25680.0, {'247379907': -53.0, '252017285': 135.0, '256201389': 0, '26110729': -15.0, '280120513': 0, '32319828': 93.0, '62426694': 103.0, 'cluster_1098574052_1098574061_247379905': -40.0}, {'247379907': 7, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 4}, {'247379907': 12, '252017285': 0, '256201389': 0, '26110729': 3, '280120513': 0, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 4}, 
