25430.0, {'247379907': -20.0, '252017285': -10.0, '256201389': 0, '26110729': -34.0, '280120513': 0, '32319828': 0, '62426694': -67.0, 'cluster_1098574052_1098574061_247379905': -30.0}, {'247379907': 1, '252017285': 1, '256201389': 0, '26110729': 3, '280120513': 0, '32319828': 0, '62426694': 5, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 3, '252017285': 1, '256201389': 0, '26110729': 6, '280120513': 0, '32319828': 0, '62426694': 7, 'cluster_1098574052_1098574061_247379905': 3}, 
25440.0, {'247379907': -46.0, '252017285': -10.0, '256201389': 0, '26110729': -70.0, '280120513': -6.0, '32319828': 0, '62426694': 122.0, 'cluster_1098574052_1098574061_247379905': -5.0}, {'247379907': 2, '252017285': 1, '256201389': 0, '26110729': 3, '280120513': 2, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 5, '252017285': 1, '256201389': 0, '26110729': 7, '280120513': 3, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 2}, 
25450.0, {'247379907': -35.0, '252017285': 21.0, '256201389': 0, '26110729': -70.0, '280120513': -32.0, '32319828': 0, '62426694': -40.0, 'cluster_1098574052_1098574061_247379905': -20.0}, {'247379907': 2, '252017285': 0, '256201389': 0, '26110729': 3, '280120513': 3, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 5, '252017285': 0, '256201389': 0, '26110729': 7, '280120513': 4, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 2}, 
25460.0, {'247379907': 15.0, '252017285': -11.0, '256201389': 0, '26110729': 60.0, '280120513': -40.0, '32319828': 0, '62426694': 75.0, 'cluster_1098574052_1098574061_247379905': -20.0}, {'247379907': 1, '252017285': 2, '256201389': 0, '26110729': 3, '280120513': 3, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 3, '252017285': 2, '256201389': 0, '26110729': 5, '280120513': 4, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 2}, 
25470.0, {'247379907': -39.0, '252017285': 11.0, '256201389': 0, '26110729': 162.0, '280120513': -8.0, '32319828': 0, '62426694': 92.0, 'cluster_1098574052_1098574061_247379905': -20.0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 3, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 4, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 3, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 2}, 
25480.0, {'247379907': 110.0, '252017285': 0, '256201389': 0, '26110729': -1.0, '280120513': 86.0, '32319828': 0, '62426694': -1.0, 'cluster_1098574052_1098574061_247379905': 219.0}, {'247379907': 2, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 3, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, 
25490.0, {'247379907': -32.0, '252017285': 0, '256201389': 0, '26110729': -15.0, '280120513': -8.0, '32319828': -8.0, '62426694': -4.0, 'cluster_1098574052_1098574061_247379905': -10.0}, {'247379907': 2, '252017285': 0, '256201389': 0, '26110729': 3, '280120513': 1, '32319828': 1, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 4, '252017285': 0, '256201389': 0, '26110729': 3, '280120513': 1, '32319828': 1, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, 
25500.0, {'247379907': -47.0, '252017285': -4.0, '256201389': 0, '26110729': -41.0, '280120513': -20.0, '32319828': -16.0, '62426694': -10.0, 'cluster_1098574052_1098574061_247379905': -17.0}, {'247379907': 3, '252017285': 1, '256201389': 0, '26110729': 4, '280120513': 2, '32319828': 3, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 5, '252017285': 1, '256201389': 0, '26110729': 7, '280120513': 2, '32319828': 3, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 2}, 
25510.0, {'247379907': 78.0, '252017285': 4.0, '256201389': -11.0, '26110729': -71.0, '280120513': 28.0, '32319828': 24.0, '62426694': -10.0, 'cluster_1098574052_1098574061_247379905': 33.0}, {'247379907': 1, '252017285': 0, '256201389': 2, '26110729': 4, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 2, '26110729': 8, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 0}, 
25520.0, {'247379907': 22.0, '252017285': 0, '256201389': -20.0, '26110729': -80.0, '280120513': 0, '32319828': -6.0, '62426694': -10.0, 'cluster_1098574052_1098574061_247379905': -8.0}, {'247379907': 0, '252017285': 0, '256201389': 2, '26110729': 4, '280120513': 0, '32319828': 1, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 0, '252017285': 0, '256201389': 2, '26110729': 8, '280120513': 0, '32319828': 1, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, 
